Rk,Team,Rec,FEI,OFEI,DFEI
1,LSU,13-1,1.45,.35,.95
2,Alabama,12-1,1.44,.38,.98
3,Wisconsin,11-3,1.26,.91,.28
4,Oklahoma State,12-1,1.26,.47,.69
5,Oregon,12-2,1.18,.51,.69
6,Stanford,11-2,1.09,.55,.54
7,Oklahoma,10-3,.99,.20,.72
8,Boise State,12-1,.96,.41,.49
9,Michigan,11-2,.86,.29,.51
10,USC,10-2,.83,.38,.43
11,Texas A&M,7-6,.80,.31,.43
12,Arkansas,11-2,.73,.22,.37
13,Michigan State,11-3,.73,-.07,.71
14,Notre Dame,8-5,.67,.12,.53
15,Georgia,10-4,.66,.01,.66
16,Kansas State,10-3,.65,.16,.43
17,Texas,8-5,.64,-.13,.73
18,South Carolina,11-2,.61,-.04,.70
19,Missouri,8-5,.60,.12,.41
20,Houston,13-1,.57,.53,.09
21,Florida State,9-4,.56,-.19,.58
22,Baylor,10-3,.51,.68,-.10
23,TCU,11-2,.49,.16,.37
24,West Virginia,10-3,.48,.22,.30
25,Florida,7-6,.47,-.19,.44
26,Nebraska,9-4,.42,.06,.29
27,Cincinnati,10-3,.37,-.10,.48
28,Vanderbilt,6-7,.36,-.10,.45
29,Ohio State,6-7,.35,-.14,.43
30,Temple,9-4,.33,-.07,.25
31,Iowa,7-6,.31,.08,.19
32,Arizona State,6-7,.31,.05,.25
33,California,7-6,.28,-.10,.42
34,Miami,6-6,.27,.05,.14
35,Toledo,9-4,.27,.07,.15
36,Virginia Tech,11-3,.27,-.05,.33
37,Mississippi State,7-6,.26,-.27,.47
38,Penn State,9-4,.26,-.41,.65
39,Tulsa,8-5,.26,-.01,.26
40,Southern Mississippi,12-2,.25,-.23,.41
41,Rutgers,9-4,.24,-.39,.55
42,Georgia Tech,8-5,.24,.29,.02
43,Tennessee,5-7,.22,-.12,.35
44,BYU,10-3,.20,-.11,.25
45,Utah,8-5,.20,-.44,.64
46,Pittsburgh,6-7,.19,-.25,.34
47,South Florida,5-7,.19,-.19,.36
48,Clemson,10-4,.18,.00,.17
49,Washington,7-6,.13,.20,-.03
50,Iowa State,6-7,.13,-.27,.36
51,Auburn,8-5,.12,-.13,.09
52,Illinois,7-6,.10,-.44,.60
53,Northwestern,6-7,.10,.19,-.10
54,Louisiana Tech,8-5,.10,-.34,.44
55,Northern Illinois,11-3,.09,.09,.01
56,Louisville,7-6,.08,-.20,.16
57,Texas Tech,5-7,.07,.20,-.18
58,North Carolina,7-6,.03,-.18,.25
59,Western Michigan,7-6,.03,-.03,-.07
60,Connecticut,5-7,-.01,-.54,.39
61,NC State,8-5,-.02,-.29,.37
62,SMU,8-5,-.07,-.22,.19
63,Arizona,4-8,-.07,.19,-.13
64,Wake Forest,6-7,-.08,-.08,.08
65,Nevada,7-6,-.10,-.07,.09
66,Purdue,7-6,-.11,-.26,.05
67,UCLA,6-8,-.11,-.01,-.04
68,Arkansas State,10-3,-.11,-.32,.21
69,Oregon State,3-9,-.13,-.28,.17
70,Navy,5-7,-.13,.23,-.30
71,Kentucky,5-7,-.13,-.53,.35
72,UCF,5-7,-.14,-.24,.13
73,Air Force,7-6,-.17,.02,-.07
74,Washington State,4-8,-.18,-.04,.00
75,San Diego State,8-5,-.18,-.14,.07
76,Syracuse,5-7,-.18,-.19,.09
77,Ohio,10-4,-.19,-.21,.01
78,Boston College,4-8,-.21,-.46,.28
79,Virginia,8-5,-.23,-.34,.17
80,Miami (OH),4-8,-.28,-.40,.11
81,Duke,3-9,-.29,-.14,-.13
82,Western Kentucky,7-5,-.30,-.35,-.02
83,Louisiana,9-4,-.31,-.31,.04
84,Florida International,8-5,-.31,-.50,.18
85,Utah State,7-6,-.31,-.03,-.09
86,Marshall,7-6,-.40,-.56,.18
87,East Carolina,5-7,-.43,-.38,-.02
88,Ole Miss,2-10,-.43,-.58,-.01
89,Bowling Green,5-7,-.43,-.41,-.02
90,Maryland,2-10,-.44,-.33,-.03
91,Ball State,6-6,-.45,-.25,-.26
92,UL Monroe,4-8,-.45,-.29,-.03
93,San Jose State,5-7,-.47,-.51,.03
94,Minnesota,3-9,-.48,-.36,-.20
95,Rice,4-8,-.50,-.54,-.02
96,Kent State,5-7,-.51,-.90,.35
97,Hawaii,6-7,-.51,-.35,-.16
98,Fresno State,4-9,-.52,-.13,-.31
99,UTEP,5-7,-.52,-.27,-.22
100,Kansas,2-10,-.54,-.28,-.17
101,Wyoming,8-5,-.55,-.35,-.11
102,Colorado,3-10,-.56,-.24,-.19
103,Eastern Michigan,6-6,-.62,-.44,-.09
104,North Texas,5-7,-.62,-.56,-.06
105,Indiana,1-11,-.68,-.32,-.31
106,Buffalo,3-9,-.71,-.43,-.24
107,Army,3-9,-.73,-.44,-.15
108,Central Michigan,3-9,-.75,-.34,-.37
109,Troy,3-9,-.80,-.62,-.11
110,New Mexico State,4-9,-.88,-.42,-.36
111,Colorado State,3-9,-.89,-.66,-.19
112,Idaho,2-10,-.92,-.82,-.09
113,UAB,3-9,-.96,-.46,-.49
114,Middle Tennessee,2-10,-1.07,-.66,-.31
115,Florida Atlantic,1-11,-1.18,-.91,-.20
116,Tulane,2-11,-1.19,-.79,-.25
117,UNLV,2-10,-1.21,-.75,-.44
118,Memphis,2-10,-1.30,-.85,-.38
119,Akron,1-11,-1.51,-1.00,-.49
120,New Mexico,1-11,-1.72,-.85,-.67
