Player,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate
Nick Florence BAY,464,286,61.6,"4,309",9.3,33,7.1,13,2.8,--,--,--,157.5
Landry Jones OKLA,555,367,66.1,"4,267",7.7,30,5.4,11,2.0,--,--,--,144.6
Seth Doege TTU,541,380,70.2,"4,205",7.8,39,7.2,16,3.0,--,--,--,153.4
Geno Smith WVU,518,369,71.2,"4,205",8.1,42,8.1,6,1.2,--,--,--,163.9
Rakeem Cato MRSH,584,406,69.5,"4,201",7.2,37,6.3,11,1.9,--,--,--,147.1
David Fales SJSU,451,327,72.5,"4,193",9.3,33,7.3,9,2.0,--,--,--,170.8
Colby Cameron LT,522,359,68.8,"4,147",7.9,31,5.9,5,1.0,--,--,--,153.2
Derek Carr FRES,511,344,67.3,"4,104",8.0,37,7.2,7,1.4,--,--,--,155.9
Mike Glennon NCST,564,330,58.5,"4,031",7.1,31,5.5,17,3.0,--,--,--,130.7
Tajh Boyd CLEM,427,287,67.2,"3,896",9.1,36,8.4,13,3.0,--,--,--,165.6
Aaron Murray UGA,386,249,64.5,"3,893",10.1,36,9.3,10,2.6,--,--,--,174.8
Ryan Nassib SYR,471,294,62.4,"3,749",8.0,26,5.5,10,2.1,--,--,--,143.3
Brett Hundley UCLA,478,318,66.5,"3,740",7.8,29,6.1,11,2.3,--,--,--,147.7
Teddy Bridgewater LOU,419,287,68.5,"3,718",8.9,27,6.4,8,1.9,--,--,--,160.5
Johnny Manziel TAMU,434,295,68.0,"3,706",8.5,26,6.0,9,2.1,--,--,--,155.3
Matt Scott ARIZ,499,301,60.3,"3,620",7.3,27,5.4,14,2.8,--,--,--,133.5
Tyler Bray TENN,451,268,59.4,"3,612",8.0,34,7.5,12,2.7,--,--,--,146.3
Zac Dysert MIOH,480,302,62.9,"3,483",7.3,25,5.2,12,2.5,--,--,--,136.1
E.J. Manuel FSU,387,263,68.0,"3,397",8.8,23,5.9,10,2.6,--,--,--,156.1
Dalton Williams AKR,522,326,62.5,"3,387",6.5,25,4.8,16,3.1,--,--,--,126.6
Tyler Wilson ARK,401,249,62.1,"3,387",8.4,21,5.2,13,3.2,--,--,--,143.8
Chuckie Keeton USU,407,275,67.6,"3,373",8.3,27,6.6,9,2.2,--,--,--,154.7
Bryn Renner UNC,422,276,65.4,"3,356",8.0,28,6.6,7,1.7,--,--,--,150.8
Stephen Morris MIA,421,245,58.2,"3,345",7.9,21,5.0,7,1.7,--,--,--,138.1
Ryan Aplin ARST,406,276,68.0,"3,342",8.2,24,5.9,4,1.0,--,--,--,154.7
