Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL
Dan Molls TOL,3,69,23.00,--,0,86,80,166,2.5,21.0
Marvin Burdette UAB,1,36,36.00,--,1,90,67,157,2.0,11.0
Eric Kendricks UCLA,1,10,10.00,--,0,93,58,151,2.0,13.0
Nick Clancy BC,0,0,0.00,--,0,81,64,145,0.0,0.0
Luke Batton KENT,2,18,9.00,--,0,80,63,143,3.5,21.0
Greg Blair CINN,2,13,6.50,--,0,68,70,138,2.5,14.0
A.J. Johnson TENN,0,0,0.00,--,0,63,75,138,1.0,10.0
Khaseem Greene RUT,2,58,29.00,--,0,70,66,136,6.0,41.0
Geoffery Bacon ARMY,1,31,31.00,--,0,65,71,136,1.0,5.0
Avery Williamson KY,1,3,3.00,--,0,70,65,135,3.0,27.0
Albert Rosette NEV,0,0,0.00,--,0,68,67,135,1.0,7.0
Dominick LeGrande MRSH,2,0,0.00,--,0,69,63,132,0.0,0.0
Perry McIntyre MASS,0,0,0.00,--,0,61,71,132,3.0,14.0
Justin Cherocci CMU,0,0,0.00,--,0,43,89,132,0.0,0.0
Jake Johnson USA,0,0,0.00,--,0,71,60,131,3.0,19.0
Kevin Minter LSU,1,4,4.00,--,0,55,75,130,4.0,29.0
Travis Freeman BALL,0,0,0.00,--,0,50,79,129,0.0,0.0
Chris Wade MIOH,0,0,0.00,--,0,75,53,128,0.0,0.0
Austin Niklas AF,0,0,0.00,--,0,74,54,128,1.0,8.0
Phillip Steward HOU,2,0,0.00,--,0,57,71,128,11.0,97.0
Shamari Benton CMU,1,11,11.00,--,0,54,72,126,0.0,0.0
Trevon Stewart HOU,1,53,53.00,--,0,52,74,126,1.0,10.0
Derrick Mathews HOU,0,0,0.00,--,0,46,80,126,6.0,46.0
DeAundre Brown TULS,1,0,0.00,--,0,81,44,125,9.0,69.0
Bryce Hager BAY,0,0,0.00,--,0,72,52,124,4.0,29.0
