Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL
Gerod Holliman LOU,14,245,17.50,65,1,34,10,44,1.0,1.0
Senquez Golson MISS,10,162,16.20,59t,1,33,10,43,0.5,2.0
Jacoby Glenn UCF,7,29,4.14,31,0,34,14,48,0.0,0.0
Quinten Rollins MIOH,7,35,5.00,27t,1,53,19,72,0.0,0.0
Frankie Sutera USU,7,96,13.71,28,0,49,38,87,4.5,25.0
Erick Dargan ORE,7,110,15.71,36,0,57,33,90,0.0,0.0
Chris Hackett TCU,7,131,18.71,30,0,51,24,75,0.0,0.0
Kevin Byard MTSU,6,1,0.17,1,0,43,23,66,0.0,0.0
Jonathan Jones AUB,6,6,1.00,4,0,23,13,36,0.0,0.0
Weston Steelhammer AF,6,10,1.67,9,0,42,19,61,3.0,16.0
Vonn Bell OSU,6,29,4.83,15,0,53,32,85,0.0,0.0
Zack Sanchez OKLA,6,43,7.17,43t,1,31,12,43,0.0,0.0
Darian Thompson BSU,6,53,8.83,36t,1,50,21,71,0.0,0.0
Jermaine Whitehead AUB,6,57,9.50,33t,1,27,9,36,0.0,0.0
Donte Deayon BSU,6,70,11.67,50t,2,33,13,46,1.0,4.0
Montres Kitchens TROY,6,80,13.33,28t,1,54,33,87,0.0,0.0
William Likely MD,6,170,28.33,88t,2,66,17,83,1.0,15.0
Xavier Woods LT,6,230,38.33,69t,2,52,19,71,1.0,9.0
Josh Hawkins ECU,5,11,2.20,7,0,31,13,44,0.0,0.0
Parry Nickerson TULN,5,15,3.00,12,0,40,11,51,0.0,0.0
Adairius Barnes LT,5,28,5.60,12,0,30,16,46,0.0,0.0
Briean Boddy-Calhoun MINN,5,59,11.80,56,0,39,12,51,0.0,0.0
Landon Feichter PUR,5,59,11.80,23,0,71,34,105,0.0,0.0
Bobby McCain MEM,5,59,11.80,29,1,38,8,46,0.0,0.0
Nick Johnson BGSU,5,63,12.60,41,0,53,19,72,0.0,0.0
