Player,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate
Brandon Doughty WKU,552,375,67.9,"4,830",8.8,49,8.9,10,1.8,75t,19,137,167.1
Shane Carden ECU,617,392,63.5,"4,736",7.7,30,4.9,10,1.6,66,32,232,140.8
Marcus Mariota ORE,408,280,68.6,"4,121",10.1,40,9.8,3,0.7,80t,29,159,184.4
Garrett Grayson CSU,420,270,64.3,"4,006",9.5,32,7.6,7,1.7,76t,26,174,166.2
Jared Goff CAL,509,315,61.9,"3,954",7.8,35,6.9,7,1.4,92t,25,192,147.1
Jameis Winston FSU,467,305,65.3,"3,907",8.4,25,5.4,18,3.9,68t,17,127,145.5
Rakeem Cato MRSH,451,267,59.2,"3,903",8.7,40,8.9,13,2.9,77t,21,125,155.4
Trevone Boykin TCU,492,301,61.2,"3,901",7.9,33,6.7,10,2.0,92t,23,120,145.8
Connor Halliday WSU,526,354,67.3,"3,873",7.4,32,6.1,11,2.1,90t,20,163,145.0
Bryce Petty BAY,428,270,63.1,"3,855",9.0,29,6.8,7,1.6,89t,24,152,157.8
Cody Kessler USC,452,315,69.7,"3,826",8.5,39,8.6,5,1.1,87t,32,228,167.1
Anu Solomon ARIZ,540,313,58.0,"3,793",7.0,28,5.2,9,1.7,92t,38,225,130.7
Grant Hedrick BSU,415,294,70.8,"3,696",8.9,23,5.5,14,3.4,78t,26,171,157.2
Dylan Thompson SCAR,451,270,59.9,"3,574",7.9,26,5.8,11,2.4,85t,24,190,140.6
Jake Waters KSST,397,262,66.0,"3,501",8.8,22,5.5,7,1.8,70t,29,168,154.8
Taylor Heinicke ODU,456,289,63.4,"3,476",7.6,30,6.6,15,3.3,74t,28,232,142.5
Blake Sims ALA,390,251,64.4,"3,473",8.9,28,7.2,10,2.6,87t,13,88,157.7
Everett Golson ND,427,256,60.0,"3,445",8.1,29,6.8,14,3.3,78t,27,185,143.6
Zach Terrell WMU,368,250,67.9,"3,443",9.4,26,7.1,10,2.7,75t,22,125,164.4
Dak Prescott MSST,395,243,61.5,"3,440",8.7,27,6.8,11,2.8,74t,20,120,151.7
Cody Sokol LT,448,260,58.0,"3,436",7.7,30,6.7,13,2.9,84t,18,115,138.8
Blake Frohnapfel MASS,436,241,55.3,"3,345",7.7,23,5.3,10,2.3,80t,22,160,132.5
Clint Trickett WVU,419,281,67.1,"3,285",7.8,18,4.3,10,2.4,79t,26,190,142.3
Nick Arbuckle GAST,429,259,60.4,"3,283",7.7,23,5.4,17,4.0,75t,30,167,134.4
Andrew Hendrix MIOH,458,222,48.5,"3,280",7.2,23,5.0,9,2.0,74t,43,287,121.3
