Player,Rec,Yds,Avg,Lg,TD
Keyarris Garrett TULS,96,"1,588",16.54,50,8
Roger Lewis BGSU,85,"1,544",18.16,94t,16
Taywan Taylor WKU,86,"1,460",16.98,78t,17
JuJu Smith-Schuster USC,89,"1,454",16.34,75t,10
Corey Davis WMU,90,"1,436",15.96,80t,12
Thomas Sperbeck BSU,88,"1,412",16.05,85t,8
Michael Thomas USM,71,"1,391",19.59,69t,14
Daniel Braverman WMU,108,"1,371",12.69,68t,13
Corey Coleman BAY,74,"1,363",18.42,81t,20
Richie James MTSU,107,"1,334",12.47,69t,8
Josh Doctson TCU,78,"1,326",17.00,55t,14
Tajae Sharpe MASS,111,"1,319",11.88,49,5
Sterling Shepard OKLA,86,"1,288",14.98,74t,11
Trent Taylor LT,99,"1,282",12.95,63,9
Jakeem Grant TTU,91,"1,273",13.99,90,10
William Fuller ND,62,"1,258",20.29,81t,14
Aaron Burbridge MSU,84,"1,248",14.86,56,7
Demarcus Ayers HOU,97,"1,221",12.59,67t,6
Gabe Marks WSU,104,"1,192",11.46,43t,15
Isaiah Ford VT,75,"1,164",15.52,75t,11
Laquon Treadwell MISS,82,"1,153",14.06,58t,11
Kenny Golladay NIU,73,"1,129",15.47,68t,10
Penny Hart GAST,72,"1,109",15.40,63t,8
Jordan Payton UCLA,78,"1,105",14.17,59,5
Chris Godwin PSU,69,"1,101",15.96,56,5
