Player,Att,Gain,Loss,Yds,Avg,Lg,TD
Donnel Pumphrey SDSU,349,"2,194",61,"2,133",6.11,79t,17
D'Onta Foreman TEX,323,"2,049",21,"2,028",6.28,74t,15
Brian Hill WYO,349,"1,894",34,"1,860",5.33,66,22
Aaron Jones UTEP,229,"1,827",54,"1,773",7.74,83t,17
Dalvin Cook FSU,288,"1,845",80,"1,765",6.13,75t,19
Jeremy McNichols BSU,314,"1,787",78,"1,709",5.44,80t,23
James Flanders TULS,258,"1,661",32,"1,629",6.31,61t,18
Anthony Wales WKU,237,"1,663",42,"1,621",6.84,59t,27
I'Tavius Mathers MTSU,235,"1,633",36,"1,597",6.80,71t,17
Christian McCaffrey STAN,252,"1,632",36,"1,596",6.33,90t,13
Lamar Jackson LOU,260,"1,952",381,"1,571",6.04,72t,21
Quinton Flowers USF,198,"1,637",107,"1,530",7.73,63t,18
Justin Jackson NW,297,"1,603",82,"1,521",5.12,68,15
Saquon Barkley PSU,272,"1,634",138,"1,496",5.50,81t,18
Kareem Hunt TOL,262,"1,512",37,"1,475",5.63,47,10
Ito Smith USM,265,"1,506",47,"1,459",5.51,86t,17
D'Angelo Brewer TULS,264,"1,461",26,"1,435",5.44,42,7
Joseph Williams UTAH,210,"1,438",31,"1,407",6.70,82t,10
Jalin Moore APST,237,"1,450",48,"1,402",5.92,63,10
Derrius Guice LSU,183,"1,428",41,"1,387",7.58,96t,15
Nick Fitzgerald MSST,195,"1,505",120,"1,385",7.10,74t,16
Corey Clement WISC,314,"1,421",46,"1,375",4.38,68,15
Jamaal Williams BYU,234,"1,408",33,"1,375",5.88,62t,12
Myles Gaskin WASH,237,"1,407",34,"1,373",5.79,68,10
Rawleigh Williams III ARK,245,"1,403",43,"1,360",5.55,72t,12
