Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL
Jordan Strachan GAST,0,0,0.00,0,0,24,17,41,10.5,59.0
Will McDonald ISU,0,0,0.00,0,0,19,14,33,10.5,57.0
Patrick Johnson TULN,0,0,0.00,0,0,28,11,39,10.0,67.0
Cade Hall SJSU,0,0,0.00,0,0,17,9,26,10.0,58.0
Azeez Ojulari UGA,0,0,0.00,0,0,23,9,32,9.5,78.0
Patrick Jones II PITT,0,0,0.00,0,0,23,21,44,9.0,85.0
Ochaun Mathis TCU,0,0,0.00,0,0,26,20,46,9.0,62.0
Leighton McCarthy FAU,0,0,0.00,0,0,20,20,40,9.0,57.0
Durrell Johnson LIB,1,18,18.00,18,0,25,13,38,8.5,65.0
Isaiah Thomas OKLA,0,0,0.00,0,0,20,12,32,8.5,60.0
Tarron Jackson CCU,0,0,0.00,0,0,25,29,54,8.5,50.0
Wyatt Hubert KSU,0,0,0.00,0,0,19,8,27,8.5,41.0
Chris Rumph II DUKE,0,0,0.00,0,0,25,28,53,8.0,54.0
Nik Bonitto OKLA,0,0,0.00,0,0,18,14,32,8.0,44.0
Christian Barmore ALA,0,0,0.00,0,0,22,15,37,8.0,42.0
Jaelan Phillips MIA,1,0,0.00,0,0,21,24,45,8.0,38.0
Victor Dimukeje DUKE,0,0,0.00,0,0,23,21,44,7.5,54.0
Calvin Bundage OKST,0,0,0.00,0,0,12,8,20,7.5,51.0
Rashad Weaver PITT,0,0,0.00,0,0,19,16,35,7.5,36.0
Justin Rice ARST,0,0,0.00,0,0,57,19,76,7.0,70.0
JaQuan Bailey ISU,0,0,0.00,0,0,20,18,38,7.0,55.0
Zion Tupuola-Fetui WASH,0,0,0.00,0,0,11,2,13,7.0,49.0
Myjai Sanders CIN,0,0,0.00,0,0,22,9,31,7.0,47.0
Morris Joseph Jr. MEM,0,0,0.00,0,0,39,13,52,7.0,43.0
Tomon Fox UNC,0,0,0.00,0,0,21,15,36,7.0,42.0
