Player,Att,Gain,Loss,Yds,Avg,Lg,TD
Lew Nichols CMU,339,"1,888",57,"1,831",5.40,66t,16
Kenneth Walker III MSU,264,"1,713",67,"1,646",6.23,94t,18
Tyler Badie MIZZ,268,"1,669",65,"1,604",5.99,73,14
Tyler Allgeier BYU,276,"1,651",50,"1,601",5.80,67,23
Abram Smith BAY,257,"1,660",59,"1,601",6.23,75,12
Sean Tucker SYR,246,"1,552",56,"1,496",6.08,56t,12
Sincere McCormick UTSA,298,"1,531",52,"1,479",4.96,81,15
Breece Hall ISU,253,"1,540",68,"1,472",5.82,80t,20
Rasheen Ali MRSH,250,"1,455",54,"1,401",5.60,63t,23
Deuce Vaughn KSU,235,"1,456",64,"1,392",5.92,80t,18
Christopher Rodriguez Jr. UK,225,"1,392",13,"1,379",6.13,41,9
DeWayne McBride UAB,204,"1,402",31,"1,371",6.72,67,13
Brad Roberts AFA,297,"1,362",10,"1,352",4.55,33,13
B.J. Baylor ORST,227,"1,356",19,"1,337",5.89,68,13
Brian Robinson Jr. ALA,270,"1,386",49,"1,337",4.95,63t,14
Hassan Haskins MICH,270,"1,333",6,"1,327",4.91,62,20
Jerome Ford CIN,215,"1,341",22,"1,319",6.13,79t,19
Travis Dye ORE,211,"1,284",13,"1,271",6.02,53,16
Braelon Allen WIS,186,"1,286",18,"1,268",6.82,71t,12
Charles Williams UNLV,254,"1,325",64,"1,261",4.96,75t,15
Kennedy Brooks OKLA,197,"1,285",36,"1,249",6.34,65,13
TreVeyon Henderson OSU,183,"1,272",24,"1,248",6.82,68,15
Mataeo Durant DUKE,255,"1,317",76,"1,241",4.87,59t,9
Jaylen Warren OKST,256,"1,275",59,"1,216",4.75,75t,11
DeAndre Torrey UNT,248,"1,254",40,"1,214",4.90,75t,13
