Player,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate
C.J. Stroud OSU,389,258,66.3,"3,688",9.5,41,10.5,6,1.5,79t,13,98,177.7
Hendon Hooker TENN,329,229,69.6,"3,135",9.5,27,8.2,2,0.6,78t,23,118,175.5
Grayson McCall CCU,297,207,69.7,"2,700",9.1,24,8.1,2,0.7,75t,19,117,171.4
Todd Centeio JMU,283,180,63.6,"2,692",9.5,25,8.8,5,1.8,62,14,99,169.1
Caleb Williams USC,500,333,66.6,"4,537",9.1,42,8.4,5,1.0,75t,30,247,168.5
Kurtis Rourke OHIO,353,244,69.1,"3,256",9.2,25,7.1,4,1.1,75t,17,130,167.7
Bo Nix ORE,409,294,71.9,"3,593",8.8,29,7.1,7,1.7,67t,5,24,165.7
K.J. Jefferson ARK,300,204,68.0,"2,648",8.8,24,8.0,5,1.7,73t,23,159,165.2
Bryce Young ALA,380,245,64.5,"3,328",8.8,32,8.4,5,1.3,65,18,128,163.2
Jalon Daniels KU,230,152,66.1,"2,014",8.8,18,7.8,4,1.7,73t,7,33,162.0
Michael Pratt TULN,338,215,63.6,"3,010",8.9,27,8.0,5,1.5,87t,28,138,161.8
Stetson Bennett UGA,454,310,68.3,"4,127",9.1,27,5.9,7,1.5,83,9,67,161.2
Jaren Hall BYU,376,248,66.0,"3,171",8.4,31,8.2,6,1.6,68t,12,64,160.8
Frank Harris UTSA,471,328,69.6,"4,063",8.6,32,6.8,9,1.9,70t,25,162,160.7
Jordan Travis FSU,353,226,64.0,"3,214",9.1,24,6.8,5,1.4,78t,15,117,160.1
Sam Hartman WAKE,428,270,63.1,"3,701",8.6,38,8.9,12,2.8,68t,34,195,159.4
Max Duggan TCU,419,267,63.7,"3,698",8.8,32,7.6,8,1.9,80t,28,214,159.2
Clayton Tune HOU,497,335,67.4,"4,069",8.2,40,8.0,10,2.0,63,23,157,158.7
Jake Haener FRES,350,252,72.0,"2,896",8.3,20,5.7,3,0.9,65t,28,195,158.6
Drake Maye UNC,517,342,66.2,"4,321",8.4,38,7.4,7,1.4,80t,40,204,157.9
Dorian Thompson-Robinson UCLA,382,266,69.6,"3,154",8.3,27,7.1,10,2.6,70t,16,110,157.1
Drew Pyne ND,254,164,64.6,"2,021",8.0,22,8.7,6,2.4,41t,15,80,155.3
Chase Brice APP,349,219,62.8,"2,921",8.4,27,7.7,6,1.7,80t,18,93,155.1
J.J. McCarthy MICH,322,208,64.6,"2,719",8.4,22,6.8,5,1.6,75t,12,107,155.0
Dillon Gabriel OKLA,367,230,62.7,"3,168",8.6,25,6.8,6,1.6,78,25,125,154.4
