Player,Rec,Yds,Avg,Lg,TD
Malachi Toney MIA,109,"1,211",11.11,61,10
Jacob De Jesus CAL J. De Jesus CAL,108,"1,021",9.45,41t,6
Easton Messer FAU,103,"1,048",10.17,55,6
Skyler Bell CONN,101,"1,276",12.63,80t,13
Lewis Bond BC,89,"1,010",11.35,54,1
Danny Scudero SJSU,88,"1,291",14.67,72t,10
Jeremiah Smith OSU,87,"1,243",14.29,87t,12
Beau Sparks TXST,84,"1,200",14.29,73t,10
Junior Vandeross III TOL,82,"1,008",12.29,71t,11
Zachariah Branch UGA,81,811,10.01,47t,6
Makai Lemon USC,79,"1,156",14.63,74t,11
Pofele Ashlock HAW,76,827,10.88,47,8
Tanner Koziol HOU,74,727,9.82,50t,6
Corey Rucker ARST,74,"1,026",13.86,71t,4
Chauncy Cobb ARST,73,797,10.92,51,1
Chris Bell LOU,72,917,12.74,64t,6
Iverson Hooks UAB,72,927,12.88,51t,7
Cooper Barkate DUKE,72,"1,106",15.36,77t,7
Eric McAlister TCU,72,"1,190",16.53,85t,10
Griffin Wilde NW,71,880,12.39,49t,8
Ted Hurst GAST,71,"1,004",14.14,70t,6
Chase Hendricks OHIO,71,"1,037",14.61,67t,7
Hank Beatty ILL,70,864,12.34,62t,3
Omar Cooper Jr. IND,70,961,13.73,58t,13
Wyatt Young UNT,70,"1,264",18.06,84t,10
