Team,Gms,Att,Cmp,Pct,Yds,TD,Int,Sack,Loss,Rate,NetYds,Yds/G
Marshall Marshall,12,607,424,69.9,4381,39,12,29,176,147.7,4205,350.4
Louisiana Tech Louisiana Tech,12,532,364,68.4,4200,33,5,10,55,153.3,4145,345.4
Texas Tech Texas Tech,13,594,418,70.4,4627,44,16,19,142,154.9,4485,345.0
Baylor Baylor,13,475,294,61.9,4427,34,13,19,92,158.3,4335,333.5
Oklahoma Oklahoma,13,570,375,65.8,4364,30,11,14,119,143.6,4245,326.5
Oklahoma State Oklahoma St.,13,495,312,63.0,4312,34,16,12,70,152.4,4242,326.3
Troy Troy,12,509,337,66.2,3978,22,12,15,99,141.4,3879,323.2
West Virginia W. Virginia,13,536,377,70.3,4289,44,7,22,139,162.0,4150,319.2
San Jose State San Jose St.,13,468,336,71.8,4324,35,9,26,194,170.2,4130,317.7
Houston Houston,12,591,337,57.0,3941,27,20,18,136,121.3,3805,317.1
Tennessee Tennessee,12,477,285,59.7,3787,35,14,7,55,144.8,3732,311.0
Fresno State Fresno St.,13,536,352,65.7,4233,38,8,27,195,152.4,4038,310.6
Texas A&M Texas A&M,13,492,329,66.9,4114,28,10,23,139,151.8,3975,305.8
Clemson Clemson,13,474,318,67.1,4176,40,14,31,211,163.0,3965,305.0
Indiana Indiana,12,540,331,61.3,3734,24,13,17,81,129.2,3653,304.4
Washington State Washington St.,12,624,363,58.2,3965,23,21,57,366,117.0,3599,299.9
Arkansas Arkansas,12,487,297,61.0,3749,23,15,22,156,135.1,3593,299.4
Akron Akron,12,583,364,62.4,3763,30,18,23,182,127.5,3581,298.4
Arizona Arizona,13,538,326,60.6,3879,30,15,18,96,134.0,3783,291.0
North Carolina State N. Carolina St.,13,569,330,58.0,4031,31,17,39,253,129.5,3778,290.6
Oregon State Oregon St.,13,504,315,62.5,3992,27,16,34,259,140.4,3733,287.2
North Carolina N. Carolina,12,441,287,65.1,3501,29,7,11,75,150.3,3426,285.5
Miami Miami,12,447,264,59.1,3545,23,7,17,127,139.5,3418,284.8
UAB UAB,12,479,279,58.2,3706,21,13,42,313,132.3,3393,282.8
Syracuse Syracuse,13,472,294,62.3,3745,26,10,16,92,142.9,3653,281.0
Western Michigan W. Michigan,12,511,304,59.5,3477,28,21,20,127,126.5,3350,279.2
Louisville Louisville,13,456,307,67.3,3849,27,8,31,222,154.3,3627,279.0
Miami (OH) Miami (OH),12,495,311,62.8,3584,26,12,39,238,136.1,3346,278.8
USC USC,13,461,284,61.6,3670,39,20,17,111,147.7,3559,273.8
Duke Duke,13,551,352,63.9,3691,27,12,19,147,132.0,3544,272.6
Georgia Georgia,14,398,253,63.6,3983,37,11,27,168,172.8,3815,272.5
Louisiana-Monroe La.-Monroe,13,511,318,62.2,3648,33,16,25,157,137.2,3491,268.5
Tulane Tulane,12,536,310,57.8,3359,23,20,32,240,117.2,3119,259.9
Penn State Penn St.,12,456,272,59.6,3283,24,5,21,183,135.3,3100,258.3
East Carolina E. Carolina,13,488,319,65.4,3551,25,14,29,209,137.7,3342,257.1
Louisiana-Lafayette La.-Lafayette,13,393,242,61.6,3399,22,9,13,69,148.1,3330,256.2
Utah State Utah St.,13,419,284,67.8,3443,27,10,18,122,153.3,3321,255.5
UCLA UCLA,14,496,324,65.3,3860,29,11,52,302,145.6,3558,254.1
Florida State Florida St.,14,428,288,67.3,3709,24,10,26,183,153.9,3526,251.9
Virginia Virginia,12,474,276,58.2,3216,23,15,25,194,124.9,3022,251.8
Arkansas State Arkansas St.,13,411,278,67.6,3367,25,5,15,110,154.1,3257,250.5
Texas Texas,13,398,267,67.1,3380,25,11,16,123,153.6,3257,250.5
Wyoming Wyoming,12,411,249,60.6,3180,29,8,26,211,145.0,2969,247.4
Ball State Ball St.,13,492,319,64.8,3302,28,10,14,92,135.9,3210,246.9
Arizona State Arizona St.,13,413,275,66.6,3370,33,12,37,216,155.7,3154,242.6
Toledo Toledo,13,441,272,61.7,3280,19,11,26,127,133.4,3153,242.5
Boston College Boston College,12,473,256,54.1,3102,18,13,33,231,116.3,2871,239.2
Central Michigan Central Michigan,13,413,244,59.1,3160,23,9,15,101,137.4,3059,235.3
Nevada Nevada,13,406,271,66.7,3170,24,10,18,121,146.9,3049,234.5
Pittsburgh Pittsburgh,13,395,258,65.3,3341,21,3,38,292,152.4,3049,234.5
Mississippi Mississippi,13,409,259,63.3,3247,24,18,34,222,140.6,3025,232.7
Cincinnati Cincinnati,13,371,210,56.6,3104,25,11,15,92,143.2,3012,231.7
BYU BYU,13,498,296,59.4,3214,25,17,30,203,123.4,3011,231.6
UTSA UTSA,12,368,221,60.1,2772,23,7,8,34,140.1,2738,228.2
Mississippi State Mississippi St.,13,422,248,58.8,3077,28,10,19,130,137.2,2947,226.7
Florida Atlantic Florida Atlantic,12,416,265,63.7,2851,18,6,28,138,132.7,2713,226.1
Northern Illinois N. Illinois,14,410,245,59.8,3239,26,6,17,81,144.1,3158,225.6
Ohio Ohio,13,402,250,62.2,3139,23,5,27,213,144.2,2926,225.1
Purdue Purdue,13,482,296,61.4,3100,30,14,25,185,130.2,2915,224.2
TCU TCU,13,402,237,59.0,3075,26,12,29,197,138.6,2878,221.4
SMU SMU,13,516,273,52.9,3059,16,15,34,183,107.1,2876,221.2
FIU FIU,12,369,219,59.3,2861,17,6,37,219,136.4,2642,220.2
Boise State Boise St.,13,394,263,66.8,2901,20,7,10,46,141.8,2855,219.6
Virginia Tech Virginia Tech,13,437,224,51.3,3002,18,17,25,156,114.8,2846,218.9
South Carolina S. Carolina,13,365,225,61.6,3095,29,9,38,260,154.2,2835,218.1
North Texas N. Texas,12,375,214,57.1,2629,14,14,6,26,120.8,2603,216.9
UCF UCF,14,412,257,62.4,3158,28,7,23,147,145.8,3011,215.1
Notre Dame Notre Dame,13,388,226,58.2,2896,14,8,18,106,128.7,2790,214.6
New Mexico State New Mexico St.,12,401,214,53.4,2833,19,11,42,272,122.9,2561,213.4
Connecticut Connecticut,12,388,219,56.4,2765,10,18,33,210,115.5,2555,212.9
Oregon Oregon,13,373,250,67.0,2888,35,9,19,121,158.2,2767,212.8
Middle Tennessee State Mid. Tennessee St.,12,344,217,63.1,2593,16,8,7,66,137.1,2527,210.6
UTEP UTEP,12,376,198,52.7,2688,16,13,31,173,119.8,2515,209.6
Idaho Idaho,12,449,262,58.4,2690,15,22,24,195,109.9,2495,207.9
Rice Rice,13,401,236,58.9,2933,19,5,33,232,133.4,2701,207.8
Tulsa Tulsa,14,471,248,52.7,2960,19,13,8,53,113.2,2907,207.6
UNLV UNLV,13,468,250,53.4,2845,18,17,25,148,109.9,2697,207.5
Alabama Alabama,14,328,219,66.8,3052,31,3,23,178,174.3,2874,205.3
Iowa State Iowa St.,13,458,266,58.1,2783,28,17,20,117,121.9,2666,205.1
Bowling Green Bowling Green,13,442,239,54.1,2757,16,13,15,95,112.5,2662,204.8
South Florida S. Florida,12,410,226,55.1,2586,14,15,21,146,112.1,2440,203.3
Rutgers Rutgers,13,392,223,56.9,2711,23,16,11,75,126.2,2636,202.8
Missouri Missouri,12,414,228,55.1,2615,15,14,29,206,113.3,2409,200.8
Kansas State Kansas St.,13,315,203,64.4,2696,16,9,14,89,147.4,2607,200.5
Vanderbilt Vanderbilt,13,349,206,59.0,2762,17,5,23,178,138.7,2584,198.8
Michigan State Michigan St.,13,465,244,52.5,2729,14,10,22,167,107.4,2562,197.1
Colorado State Colorado St.,12,351,206,58.7,2522,17,15,30,173,126.5,2349,195.8
Washington Washington,13,438,266,60.7,2767,19,14,38,250,121.7,2517,193.6
Western Kentucky W. Kentucky,13,335,213,63.6,2667,24,12,25,154,146.9,2513,193.3
Stanford Stanford,14,399,240,60.2,2802,19,10,20,98,129.8,2704,193.1
South Alabama S. Alabama,13,449,244,54.3,2728,16,16,33,244,110.0,2484,191.1
Nebraska Nebraska,14,378,233,61.6,2904,24,13,35,250,140.2,2654,189.6
Michigan Michigan,13,318,169,53.1,2591,20,19,18,131,130.4,2460,189.2
Texas State Texas St.,12,361,217,60.1,2405,17,8,28,151,127.2,2254,187.8
Buffalo Buffalo,12,380,196,51.6,2391,17,10,27,150,113.9,2241,186.8
Wake Forest Wake Forest,12,427,239,56.0,2410,13,7,27,180,110.1,2230,185.8
California California,12,365,211,57.8,2485,13,13,40,262,119.6,2223,185.2
LSU LSU,13,356,208,58.4,2607,12,7,32,241,127.1,2366,182.0
Utah Utah,12,351,220,62.7,2288,16,9,25,152,127.3,2136,178.0
Iowa Iowa,12,389,223,57.3,2249,7,8,22,156,107.7,2093,174.4
Massachusetts Massachusetts,12,444,237,53.4,2240,9,19,33,214,93.9,2026,168.8
Colorado Colorado,12,403,222,55.1,2330,11,19,50,321,103.2,2009,167.4
Ohio State Ohio St.,12,278,161,57.9,2178,17,7,29,185,138.9,1993,166.1
Hawaii Hawaii,12,398,206,51.8,2266,12,13,40,280,103.0,1986,165.5
Kentucky Kentucky,12,387,220,56.8,2115,13,10,25,172,108.7,1943,161.9
Northwestern Northwestern,13,369,231,62.6,2198,14,7,16,95,121.4,2103,161.8
San Diego State San Diego St.,13,309,182,58.9,2287,21,11,35,202,136.4,2085,160.4
Eastern Michigan E. Michigan,12,308,159,51.6,2054,19,15,22,146,118.3,1908,159.0
Maryland Maryland,12,304,165,54.3,2181,17,12,39,294,125.1,1887,157.2
Minnesota Minnesota,13,330,175,53.0,2203,19,15,21,162,119.0,2041,157.0
Memphis Memphis,12,283,182,64.3,1999,16,3,23,139,140.2,1860,155.0
Kent State Kent St.,14,358,198,55.3,2275,14,11,21,148,115.4,2127,151.9
Southern Mississippi S. Mississippi,12,313,151,48.2,2019,9,13,29,206,103.6,1813,151.1
Illinois Illinois,12,354,223,63.0,2026,11,14,39,249,113.4,1777,148.1
Wisconsin Wisconsin,14,291,170,58.4,2197,15,6,28,238,134.7,1959,139.9
Auburn Auburn,12,257,147,57.2,1879,8,15,37,238,117.2,1641,136.8
Kansas Kansas,12,313,148,47.3,1789,7,13,25,180,94.4,1609,134.1
Georgia Tech Georgia Tech,14,194,102,52.6,1818,12,8,14,77,143.5,1741,124.4
Florida Florida,13,287,182,63.4,1896,13,5,39,283,130.4,1613,124.1
Temple Temple,11,221,116,52.5,1329,10,6,20,136,112.5,1193,108.5
Air Force Air Force,13,151,83,55.0,1334,9,8,9,47,138.2,1287,99.0
Navy Navy,13,172,99,57.6,1372,11,5,24,170,139.9,1202,92.5
New Mexico New Mexico,13,154,79,51.3,895,5,4,10,67,105.6,828,63.7
Army Army,12,115,51,44.3,797,3,2,10,52,107.7,745,62.1
