Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G
Oklahoma Oklahoma,14,632,45.1,3049,217.8,4884,348.9,7933,566.6
Oklahoma State Oklahoma St.,13,585,45.0,2341,180.1,4935,379.6,7276,559.7
Louisville Louisville,13,495,38.1,3186,245.1,3718,286.0,6904,531.1
UCF UCF,13,627,48.2,2583,198.7,4249,326.8,6832,525.5
Memphis Memphis,13,592,45.5,2562,197.1,4217,324.4,6779,521.5
South Florida S. Florida,12,459,38.2,3169,264.1,2876,239.7,6045,503.8
Ohio State Ohio St.,14,576,41.1,3416,244.0,3537,252.6,6953,496.6
Missouri Missouri,13,488,37.5,2516,193.5,3920,301.5,6436,495.1
Florida Atlantic Florida Atlantic,14,568,40.6,3994,285.3,2911,207.9,6905,493.2
Colorado State Colorado St.,13,434,33.4,2608,200.6,3729,286.8,6337,487.5
Arizona Arizona,13,537,41.3,4033,310.2,2212,170.2,6245,480.4
Arkansas State Arkansas St.,12,454,37.8,1838,153.2,3900,325.0,5738,478.2
Toledo Toledo,14,509,36.4,2888,206.3,3781,270.1,6669,476.4
USC USC,14,456,32.6,2591,185.1,3969,283.5,6560,468.6
SMU SMU,13,492,37.8,2400,184.6,3682,283.2,6082,467.8
Wake Forest Wake Forest,13,459,35.3,2456,188.9,3490,268.5,5946,457.4
Texas Tech Texas Tech,13,446,34.3,1832,140.9,4100,315.4,5932,456.3
West Virginia W. Virginia,13,449,34.5,1958,150.6,3896,299.7,5854,450.3
Louisiana-Monroe La.-Monroe,12,407,33.9,2038,169.8,3336,278.0,5374,447.8
Penn State Penn St.,13,534,41.1,2212,170.2,3609,277.6,5821,447.8
North Carolina State N. Carolina St.,13,419,32.2,2297,176.7,3488,268.3,5785,445.0
Mississippi Mississippi,12,394,32.8,1607,133.9,3699,308.2,5306,442.2
UCLA UCLA,13,422,32.5,1513,116.4,4218,324.5,5731,440.8
Syracuse Syracuse,12,329,27.4,1938,161.5,3344,278.7,5282,440.2
Notre Dame Notre Dame,13,445,34.2,3503,269.5,2185,168.1,5688,437.5
Appalachian State Appalachian St.,13,435,33.5,2912,224.0,2755,211.9,5667,435.9
Auburn Auburn,14,474,33.9,3056,218.3,3043,217.4,6099,435.6
North Texas N. Texas,14,497,35.5,2288,163.4,3791,270.8,6079,434.2
Alabama Alabama,14,519,37.1,3509,250.6,2554,182.4,6063,433.1
New Mexico State New Mexico St.,13,381,29.3,1412,108.6,4214,324.2,5626,432.8
