Team,Gms,Att,Cmp,Pct,Yds,TD,Int,Sack,Loss,Rate,NetYds,Yds/G
Ohio State Ohio St.,14,393,200,50.9,2184,9,15,54,354,97.5,1830,130.7
Kentucky Kentucky,13,353,202,57.2,2182,9,8,33,221,113.0,1961,150.8
Clemson Clemson,15,433,231,53.3,2584,14,19,47,313,105.4,2271,151.4
Notre Dame Notre Dame,13,374,203,54.3,2191,13,9,34,221,110.1,1970,151.5
Wisconsin Wisconsin,14,415,214,51.6,2623,18,12,51,361,113.2,2262,161.6
UAB UAB,14,420,217,51.7,2571,22,7,44,253,117.0,2318,165.6
Michigan Michigan,13,345,198,57.4,2412,16,9,36,257,126.2,2155,165.8
Colorado State Colorado St.,12,316,183,57.9,2179,19,6,29,179,131.9,2000,166.7
Minnesota Minnesota,13,357,200,56.0,2395,14,14,28,207,117.5,2188,168.3
Missouri Missouri,12,348,175,50.3,2151,15,8,19,129,111.8,2022,168.5
Army Army,13,326,203,62.3,2326,16,7,21,128,134.1,2198,169.1
Utah Utah,14,436,247,56.7,2624,16,14,33,240,112.9,2384,170.3
Alabama Alabama,13,410,230,56.1,2434,15,17,32,212,109.7,2222,170.9
Charlotte Charlotte,13,314,195,62.1,2457,23,9,36,212,146.3,2245,172.7
Miami Miami,13,379,208,54.9,2538,16,10,46,286,119.8,2252,173.2
South Florida S. Florida,12,325,203,62.5,2274,15,12,29,184,129.1,2090,174.2
Florida Florida,13,390,235,60.3,2627,14,16,49,318,120.5,2309,177.6
Tennessee Tennessee,13,375,216,57.6,2522,14,15,34,212,118.4,2310,177.7
Pittsburgh Pittsburgh,13,433,221,51.0,2658,19,9,51,338,112.9,2320,178.5
Buffalo Buffalo,13,352,206,58.5,2571,18,11,43,227,130.5,2344,180.3
Memphis Memphis,14,413,219,53.0,2742,15,11,36,210,115.5,2532,180.9
Iowa Iowa,13,417,248,59.5,2544,14,12,33,186,116.0,2358,181.4
