Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Navy Navy,13,773,4687,6.06,52,228,360.5
Air Force Air Force,13,755,3881,5.14,41,227,298.5
Army Army,13,743,3863,5.20,45,219,297.2
Kentucky Kentucky,13,573,3624,6.32,36,165,278.8
Ohio State Ohio St.,14,663,3735,5.63,39,192,266.8
Louisiana Louisiana,14,574,3604,6.28,42,179,257.4
Boston College Boston College,13,659,3291,4.99,27,172,253.2
Georgia Southern Georgia S.,13,667,3285,4.92,29,158,252.7
Mississippi Mississippi,12,559,3015,5.39,29,140,251.2
Buffalo Buffalo,13,659,3256,4.94,36,173,250.5
Tulane Tulane,13,612,3162,5.17,33,166,243.2
Georgia State Georgia St.,13,596,3141,5.27,30,159,241.6
Clemson Clemson,15,566,3606,6.37,45,166,240.4
Oklahoma Oklahoma,14,565,3363,5.95,38,160,240.2
Wisconsin Wisconsin,14,612,3263,5.33,38,174,233.1
Appalachian State Appalachian St.,14,599,3240,5.41,35,151,231.4
Oklahoma State Oklahoma St.,13,562,2985,5.31,27,142,229.6
Toledo Toledo,12,517,2694,5.21,27,126,224.5
UCF UCF,13,559,2909,5.20,34,154,223.8
Ohio Ohio,13,526,2883,5.48,36,148,221.8
Mississippi State Mississippi St.,13,529,2868,5.42,27,145,220.6
Ball State Ball St.,12,536,2633,4.91,27,129,219.4
Wyoming Wyoming,13,575,2792,4.86,27,128,214.8
Louisville Louisville,13,568,2767,4.87,23,129,212.8
Cincinnati Cincinnati,14,616,2912,4.73,30,159,208.0
Louisiana-Monroe La.-Monroe,12,456,2487,5.45,29,120,207.2
New Mexico New Mexico,12,501,2463,4.92,20,115,205.2
Western Michigan W. Michigan,13,503,2666,5.30,35,133,205.1
TCU TCU,12,510,2448,4.80,23,127,204.0
Nebraska Nebraska,12,544,2439,4.48,27,128,203.2
Utah Utah,14,591,2819,4.77,34,147,201.4
Charlotte Charlotte,13,527,2605,4.94,26,129,200.4
Auburn Auburn,13,550,2588,4.71,31,135,199.1
Coastal Carolina Coastal Carolina,12,520,2346,4.51,24,139,195.5
Marshall Marshall,13,532,2514,4.73,21,142,193.4
Penn State Penn St.,13,516,2478,4.80,34,125,190.6
North Carolina N. Carolina,13,528,2446,4.63,13,131,188.2
