Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G
Marshall Marshall,10,130,13.0,955,95.5,1681,168.1,2636,263.6
San Diego State San Diego St.,8,142,17.8,786,98.2,1339,167.4,2125,265.6
Army Army,12,178,14.8,1375,114.6,1816,151.3,3191,265.9
West Virginia W. Virginia,10,205,20.5,1318,131.8,1469,146.9,2787,278.7
Wisconsin Wisconsin,7,122,17.4,673,96.1,1364,194.9,2037,291.0
Air Force Air Force,6,90,15.0,819,136.5,945,157.5,1764,294.0
Iowa Iowa,8,128,16.0,861,107.6,1496,187.0,2357,294.6
UAB UAB,9,193,21.4,1241,137.9,1423,158.1,2664,296.0
Georgia Georgia,10,200,20.0,723,72.3,2259,225.9,2982,298.2
Texas A&M Texas A&M,10,217,21.7,920,92.0,2073,207.3,2993,299.3
Clemson Clemson,12,242,20.2,1352,112.7,2263,188.6,3615,301.2
Liberty Liberty,11,226,20.5,1481,134.6,1836,166.9,3317,301.5
BYU BYU,12,184,15.3,1446,120.5,2232,186.0,3678,306.5
Cincinnati Cincinnati,10,168,16.8,1144,114.4,1924,192.4,3068,306.8
Wyoming Wyoming,6,126,21.0,752,125.3,1107,184.5,1859,309.8
Penn State Penn St.,9,249,27.7,1172,130.2,1641,182.3,2813,312.6
Pittsburgh Pittsburgh,11,270,24.5,1029,93.5,2416,219.6,3445,313.2
Appalachian State Appalachian St.,12,240,20.0,1811,150.9,1950,162.5,3761,313.4
Georgia Southern Georgia S.,13,270,20.8,1458,112.2,2637,202.8,4095,315.0
Tulsa Tulsa,9,194,21.6,1301,144.6,1578,175.3,2879,319.9
San Jose State San Jose St.,8,159,19.9,962,120.2,1633,204.1,2595,324.4
Florida Atlantic Florida Atlantic,9,157,17.4,1391,154.6,1534,170.4,2925,325.0
Iowa State Iowa St.,12,257,21.4,1237,103.1,2663,221.9,3900,325.0
Washington Washington,4,100,25.0,645,161.2,662,165.5,1307,326.8
Oklahoma Oklahoma,11,239,21.7,1156,105.1,2460,223.6,3616,328.7
Northwestern Northwestern,9,143,15.9,1313,145.9,1646,182.9,2959,328.8
Colorado State Colorado St.,4,143,35.8,434,108.5,882,220.5,1316,329.0
Notre Dame Notre Dame,12,236,19.7,1360,113.3,2595,216.2,3955,329.6
TCU TCU,10,242,24.2,1275,127.5,2048,204.8,3323,332.3
Rice Rice,5,94,18.8,704,140.8,958,191.6,1662,332.4
Coastal Carolina Coastal Carolina,12,243,20.2,1772,147.7,2231,185.9,4003,333.6
Western Kentucky W. Kentucky,12,304,25.3,2056,171.3,1977,164.8,4033,336.1
Alabama Alabama,13,252,19.4,1470,113.1,2901,223.2,4371,336.2
Buffalo Buffalo,7,153,21.9,1102,157.4,1294,184.9,2396,342.3
Louisiana Louisiana,11,242,22.0,2032,184.7,1751,159.2,3783,343.9
Utah Utah,5,130,26.0,539,107.8,1197,239.4,1736,347.2
Toledo Toledo,6,146,24.3,775,129.2,1312,218.7,2087,347.8
USC USC,6,156,26.0,920,153.3,1196,199.3,2116,352.7
Indiana Indiana,8,162,20.2,1097,137.1,1768,221.0,2865,358.1
Boise State Boise St.,7,190,27.1,1146,163.7,1361,194.4,2507,358.1
Louisville Louisville,11,293,26.6,1979,179.9,1968,178.9,3947,358.8
Nevada Nevada,9,210,23.3,1243,138.1,1989,221.0,3232,359.1
California California,4,106,26.5,677,169.2,760,190.0,1437,359.2
Oklahoma State Oklahoma St.,11,258,23.5,1761,160.1,2193,199.4,3954,359.5
Miami (OH) Miami (OH),3,80,26.7,378,126.0,730,243.3,1108,369.3
UTSA UTSA,12,308,25.7,1945,162.1,2503,208.6,4448,370.7
Baylor Baylor,9,263,29.2,1624,180.4,1713,190.3,3337,370.8
UTEP UTEP,8,248,31.0,1123,140.4,1848,231.0,2971,371.4
Kentucky Kentucky,11,285,25.9,1717,156.1,2387,217.0,4104,373.1
Nebraska Nebraska,8,235,29.4,1356,169.5,1636,204.5,2992,374.0
Mississippi State Mississippi St.,11,309,28.1,1390,126.4,2752,250.2,4142,376.5
Houston Houston,8,256,32.0,1340,167.5,1696,212.0,3036,379.5
Western Michigan W. Michigan,6,205,34.2,944,157.3,1343,223.8,2287,381.2
Navy Navy,10,303,30.3,2047,204.7,1768,176.8,3815,381.5
North Carolina N. Carolina,12,353,29.4,1851,154.2,2731,227.6,4582,381.8
Ohio Ohio,3,50,16.7,582,194.0,569,189.7,1151,383.7
Ohio State Ohio St.,8,206,25.8,781,97.6,2303,287.9,3084,385.5
Michigan State Michigan St.,7,246,35.1,1101,157.3,1605,229.3,2706,386.6
Miami Miami,11,297,27.0,1919,174.5,2355,214.1,4274,388.5
UCLA UCLA,7,215,30.7,950,135.7,1775,253.6,2725,389.3
Georgia State Georgia St.,10,317,31.7,1367,136.7,2527,252.7,3894,389.4
Troy Troy,11,283,25.7,1833,166.6,2462,223.8,4295,390.5
Auburn Auburn,11,272,24.7,1797,163.4,2505,227.7,4302,391.1
Southern Mississippi S. Mississippi,10,323,32.3,1809,180.9,2107,210.7,3916,391.6
Purdue Purdue,6,179,29.8,869,144.8,1495,249.2,2364,394.0
Texas Texas,10,285,28.5,1402,140.2,2541,254.1,3943,394.3
Tennessee Tennessee,10,301,30.1,1416,141.6,2532,253.2,3948,394.8
Oregon Oregon,7,198,28.3,1187,169.6,1583,226.1,2770,395.7
Hawaii Hawaii,9,248,27.6,1905,211.7,1672,185.8,3577,397.4
Missouri Missouri,10,323,32.3,1622,162.2,2354,235.4,3976,397.6
North Carolina State N. Carolina St.,12,350,29.2,2087,173.9,2711,225.9,4798,399.8
Boston College Boston College,11,312,28.4,1885,171.4,2524,229.5,4409,400.8
Tulane Tulane,12,337,28.1,1725,143.8,3101,258.4,4826,402.2
Kent State Kent St.,4,152,38.0,1048,262.0,573,143.2,1621,405.2
Central Michigan Central Michigan,6,181,30.2,783,130.5,1661,276.8,2444,407.3
Fresno State Fresno St.,6,180,30.0,1274,212.3,1170,195.0,2444,407.3
SMU SMU,10,309,30.9,1803,180.3,2272,227.2,4075,407.5
Northern Illinois N. Illinois,6,232,38.7,1041,173.5,1406,234.3,2447,407.8
Florida Florida,12,370,30.8,2046,170.5,2850,237.5,4896,408.0
Minnesota Minnesota,7,211,30.1,1450,207.1,1407,201.0,2857,408.1
Colorado Colorado,6,190,31.7,1087,181.2,1365,227.5,2452,408.7
FIU FIU,5,162,32.4,1178,235.6,870,174.0,2048,409.6
Maryland Maryland,5,160,32.0,1150,230.0,901,180.2,2051,410.2
Charlotte Charlotte,6,195,32.5,1284,214.0,1201,200.2,2485,414.2
Louisiana Tech Louisiana Tech,10,347,34.7,1983,198.3,2167,216.7,4150,415.0
Ball State Ball St.,8,206,25.8,1121,140.1,2236,279.5,3357,419.6
Virginia Virginia,10,296,29.6,1385,138.5,2823,282.3,4208,420.8
Temple Temple,7,260,37.1,1465,209.3,1484,212.0,2949,421.3
Memphis Memphis,11,307,27.9,1611,146.5,3026,275.1,4637,421.5
Wake Forest Wake Forest,9,295,32.8,1650,183.3,2156,239.6,3806,422.9
Michigan Michigan,6,207,34.5,1073,178.8,1466,244.3,2539,423.2
Arizona State Arizona St.,4,93,23.2,733,183.2,960,240.0,1693,423.2
Virginia Tech Virginia Tech,11,353,32.1,1996,181.5,2683,243.9,4679,425.4
Duke Duke,11,419,38.1,2345,213.2,2351,213.7,4696,426.9
Stanford Stanford,6,190,31.7,1332,222.0,1233,205.5,2565,427.5
South Alabama S. Alabama,11,300,27.3,1919,174.5,2810,255.5,4729,429.9
Kansas State Kansas St.,10,322,32.2,1772,177.2,2530,253.0,4302,430.2
Middle Tennessee State Mid. Tennessee St.,9,319,35.4,1997,221.9,1877,208.6,3874,430.4
New Mexico New Mexico,7,228,32.6,1149,164.1,1873,267.6,3022,431.7
Texas Tech Texas Tech,10,367,36.7,1864,186.4,2487,248.7,4351,435.1
Oregon State Oregon St.,7,233,33.3,1523,217.6,1526,218.0,3049,435.6
Rutgers Rutgers,9,289,32.1,1833,203.7,2089,232.1,3922,435.8
East Carolina E. Carolina,9,319,35.4,1812,201.3,2135,237.2,3947,438.6
South Florida S. Florida,9,359,39.9,1911,212.3,2037,226.3,3948,438.7
Arkansas Arkansas,10,349,34.9,1921,192.1,2493,249.3,4414,441.4
South Carolina S. Carolina,10,360,36.0,1954,195.4,2477,247.7,4431,443.1
Georgia Tech Georgia Tech,10,368,36.8,1892,189.2,2546,254.6,4438,443.8
Syracuse Syracuse,11,360,32.7,2300,209.1,2649,240.8,4949,449.9
Akron Akron,6,248,41.3,1489,248.2,1212,202.0,2701,450.2
Florida State Florida St.,9,324,36.0,1793,199.2,2261,251.2,4054,450.4
Kansas Kansas,9,414,46.0,2126,236.2,1935,215.0,4061,451.2
Illinois Illinois,8,279,34.9,1841,230.1,1770,221.2,3611,451.4
Washington State Washington St.,4,154,38.5,619,154.8,1187,296.8,1806,451.5
