Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Texas Tech Texas Tech,14,434,982,2.26,8,71,70.1
Indiana Indiana,16,413,1235,2.99,8,66,77.2
Oklahoma Oklahoma,13,420,1005,2.39,7,56,77.3
Georgia Georgia,14,388,1141,2.94,14,70,81.5
James Madison James Madison,14,426,1191,2.80,9,73,85.1
Miami Miami,16,484,1428,2.95,12,95,89.2
Ohio State Ohio St.,14,425,1251,2.94,5,76,89.4
Pittsburgh Pittsburgh,13,454,1236,2.72,12,88,95.1
Notre Dame Notre Dame,12,402,1186,2.95,8,76,98.8
Toledo Toledo,13,468,1286,2.75,12,83,98.9
Auburn Auburn,12,417,1192,2.86,12,64,99.3
Washington Washington,13,398,1302,3.27,9,71,100.2
Missouri Missouri,13,418,1350,3.23,12,76,103.8
Texas Texas,13,430,1355,3.15,13,83,104.2
Clemson Clemson,13,387,1369,3.54,10,88,105.3
Wisconsin Wisconsin,12,372,1264,3.40,12,81,105.3
Iowa Iowa,13,406,1400,3.45,12,84,107.7
Vanderbilt Vanderbilt,13,382,1406,3.68,10,84,108.2
Michigan Michigan,13,427,1455,3.41,14,89,111.9
SMU SMU,13,456,1455,3.19,5,89,111.9
New Mexico New Mexico,13,434,1466,3.38,14,102,112.8
Louisville Louisville,13,427,1486,3.48,13,88,114.3
Virginia Virginia,14,465,1603,3.45,17,89,114.5
Oregon Oregon,15,508,1736,3.42,13,101,115.7
Stanford Stanford,12,381,1431,3.76,17,76,119.2
East Carolina E. Carolina,13,435,1563,3.59,11,96,120.2
Minnesota Minnesota,13,423,1574,3.72,16,99,121.1
Wake Forest Wake Forest,13,467,1581,3.39,18,93,121.6
Tulane Tulane,14,480,1716,3.58,18,116,122.6
BYU BYU,14,460,1718,3.73,13,104,122.7
LSU LSU,13,434,1607,3.70,15,93,123.6
Arizona State Arizona St.,13,447,1612,3.61,20,96,124.0
North Carolina N. Carolina,12,433,1503,3.47,19,100,125.2
Western Michigan W. Michigan,14,469,1758,3.75,16,95,125.6
Illinois Illinois,13,417,1647,3.95,17,91,126.7
Alabama Alabama,15,509,1903,3.74,17,105,126.9
Washington State Washington St.,13,429,1651,3.85,15,101,127.0
Houston Houston,13,452,1677,3.71,17,110,129.0
San Diego State San Diego St.,13,457,1693,3.70,9,88,130.2
Texas A&M Texas A&M,13,406,1700,4.19,13,90,130.8
Fresno State Fresno St.,13,422,1716,4.07,9,93,132.0
Memphis Memphis,13,460,1717,3.73,22,89,132.1
TCU TCU,13,466,1730,3.71,10,97,133.1
Hawaii Hawaii,13,420,1734,4.13,19,92,133.4
Miami (OH) Miami (OH),14,502,1878,3.74,12,103,134.1
Kentucky Kentucky,12,440,1611,3.66,20,102,134.2
Louisiana Tech Louisiana Tech,13,416,1749,4.20,13,97,134.5
South Carolina S. Carolina,12,433,1640,3.79,13,91,136.7
Iowa State Iowa St.,12,373,1656,4.44,14,81,138.0
Florida State Florida St.,12,461,1657,3.59,12,99,138.1
NC State NC St.,13,418,1804,4.32,17,92,138.8
Old Dominion Old Dominion,13,496,1821,3.67,13,96,140.1
Navy Navy,13,452,1837,4.06,20,96,141.3
Bowling Green Bowling Green,12,411,1701,4.14,17,91,141.8
Penn State Penn St.,13,457,1853,4.05,16,106,142.5
South Florida S. Florida,13,500,1858,3.72,21,112,142.9
Arizona Arizona,13,473,1862,3.94,19,98,143.2
USC USC,13,428,1862,4.35,15,110,143.2
Middle Tennessee Mid. Tennessee,12,440,1721,3.91,17,97,143.4
West Virginia W. Virginia,12,479,1725,3.60,15,98,143.8
Ohio Ohio,13,429,1872,4.36,15,109,144.0
Jacksonville State Jacksonville St.,14,506,2020,3.99,22,123,144.3
Central Michigan Central Michigan,13,445,1894,4.26,18,105,145.7
Michigan State Michigan St.,12,394,1768,4.49,21,99,147.3
Duke Duke,14,482,2064,4.28,29,111,147.4
Northwestern Northwestern,12,412,1772,4.30,18,91,147.7
Marshall Marshall,12,459,1787,3.89,21,86,148.9
Mississippi Mississippi,15,539,2236,4.15,20,128,149.1
Appalachian State Appalachian St.,13,469,1939,4.13,23,96,149.2
UTSA UTSA,13,458,1945,4.25,16,89,149.6
Nevada Nevada,12,428,1805,4.22,24,101,150.4
UCF UCF,12,460,1808,3.93,18,117,150.7
Tennessee Tennessee,13,488,1976,4.05,24,118,152.0
Army Army,13,443,1991,4.49,18,111,153.2
Virginia Tech Virginia Tech,12,427,1839,4.31,25,100,153.2
Missouri State Missouri St.,13,429,1993,4.65,26,100,153.3
Florida Florida,12,463,1847,3.99,21,96,153.9
Akron Akron,12,435,1870,4.30,18,101,155.8
California California,13,429,2033,4.74,24,114,156.4
Buffalo Buffalo,12,499,1886,3.78,16,106,157.2
Oregon State Oregon St.,12,410,1889,4.61,17,95,157.4
San Jose State San Jose St.,12,469,1895,4.04,25,104,157.9
Air Force Air Force,12,367,1902,5.18,27,99,158.5
Delaware Delaware,13,454,2076,4.57,25,96,159.7
FIU FIU,13,446,2101,4.71,20,117,161.6
Boise State Boise St.,14,472,2269,4.81,25,105,162.1
Louisiana-Monroe La.-Monroe,12,455,1951,4.29,23,93,162.6
Rice Rice,13,458,2128,4.65,26,113,163.7
Kansas State Kansas St.,12,484,1965,4.06,23,119,163.8
Georgia Tech Georgia Tech,13,467,2136,4.57,21,110,164.3
